# Date	real
07/13/26	9.558
07/13/26	9.533
07/13/26	9.591
07/13/26	9.462
07/13/26	9.526
07/13/26	9.474
07/13/26	9.525
07/13/26	9.546
07/13/26	9.546
07/13/26	9.483
07/16/26	9.557
07/16/26	9.488
07/16/26	9.504
07/16/26	9.486
07/16/26	9.519
07/16/26	9.544
07/16/26	9.495
07/16/26	9.587
07/16/26	9.669
07/16/26	9.483
07/17/26	9.722
07/17/26	9.471
07/17/26	9.712
07/17/26	9.446
07/17/26	9.504
07/17/26	9.58
07/17/26	9.549
07/17/26	9.502
07/17/26	9.524
07/17/26	9.568
07/21/26	9.26
07/21/26	9.202
07/21/26	9.252
07/21/26	9.241
07/21/26	9.237
07/21/26	9.229
07/21/26	9.24
07/21/26	9.24
07/21/26	9.212
07/21/26	9.272
07/23/26	9.336
07/23/26	9.281
07/23/26	9.347
07/23/26	9.409
07/23/26	9.223
07/23/26	9.274
07/23/26	9.338
07/23/26	9.31
07/23/26	9.298
07/23/26	9.237
