# Date	real
07/13/26	2.809
07/13/26	2.789
07/13/26	2.765
07/13/26	2.797
07/13/26	2.762
07/13/26	2.771
07/13/26	2.768
07/13/26	2.777
07/13/26	2.781
07/13/26	2.767
07/16/26	2.808
07/16/26	2.773
07/16/26	2.764
07/16/26	2.782
07/16/26	2.759
07/16/26	2.81
07/16/26	2.782
07/16/26	2.745
07/16/26	2.768
07/16/26	2.774
07/17/26	2.795
07/17/26	2.762
07/17/26	2.775
07/17/26	2.771
07/17/26	2.762
07/17/26	2.767
07/17/26	2.775
07/17/26	2.777
07/17/26	2.765
07/17/26	2.79
07/21/26	2.773
07/21/26	2.757
07/21/26	2.745
07/21/26	2.739
07/21/26	2.755
07/21/26	2.756
07/21/26	2.736
07/21/26	2.784
07/21/26	2.75
07/21/26	2.742
07/23/26	2.766
07/23/26	2.754
07/23/26	2.739
07/23/26	2.747
07/23/26	2.729
07/23/26	2.759
07/23/26	2.752
07/23/26	2.748
07/23/26	2.744
07/23/26	2.737
