# Date	real
07/13/26	6.602
07/13/26	6.967
07/13/26	6.812
07/13/26	6.834
07/13/26	6.863
07/13/26	6.941
07/13/26	6.644
07/13/26	6.437
07/13/26	6.609
07/13/26	6.565
07/16/26	6.888
07/16/26	6.762
07/16/26	6.801
07/16/26	6.886
07/16/26	6.685
07/16/26	6.738
07/16/26	6.839
07/16/26	6.886
07/16/26	6.677
07/16/26	6.855
07/17/26	6.808
07/17/26	6.648
07/17/26	6.821
07/17/26	6.591
07/17/26	6.665
07/17/26	6.806
07/17/26	6.602
07/17/26	6.866
07/17/26	6.735
07/17/26	6.763
07/21/26	6.605
07/21/26	6.911
07/21/26	6.699
07/21/26	6.684
07/21/26	6.621
07/21/26	6.827
07/21/26	6.821
07/21/26	6.803
07/21/26	6.677
07/21/26	6.902
07/23/26	6.779
07/23/26	6.697
07/23/26	6.93
07/23/26	6.928
07/23/26	6.778
07/23/26	6.789
07/23/26	6.541
07/23/26	6.734
07/23/26	6.653
07/23/26	6.852
