# Date	real
07/13/26	6.892
07/13/26	6.955
07/13/26	7.13
07/13/26	6.891
07/13/26	6.982
07/13/26	6.687
07/13/26	6.568
07/13/26	6.695
07/13/26	6.861
07/13/26	6.642
07/16/26	6.738
07/16/26	6.724
07/16/26	6.955
07/16/26	6.868
07/16/26	6.684
07/16/26	7.036
07/16/26	7.06
07/16/26	6.706
07/16/26	6.981
07/16/26	6.986
07/17/26	6.803
07/17/26	6.608
07/17/26	6.663
07/17/26	6.988
07/17/26	6.944
07/17/26	7.015
07/17/26	6.969
07/17/26	6.873
07/17/26	6.645
07/17/26	6.595
07/21/26	6.819
07/21/26	7.045
07/21/26	7.155
07/21/26	6.704
07/21/26	6.789
07/21/26	6.586
07/21/26	6.986
07/21/26	6.765
07/21/26	6.863
07/21/26	6.805
07/23/26	6.785
07/23/26	6.807
07/23/26	6.993
07/23/26	6.941
07/23/26	6.969
07/23/26	7.09
07/23/26	7.044
07/23/26	6.877
07/23/26	6.759
07/23/26	7.071
