# Date	real
07/13/26	2.07
07/13/26	1.993
07/13/26	2.032
07/13/26	1.433
07/13/26	1.406
07/13/26	1.452
07/13/26	1.446
07/13/26	1.492
07/13/26	1.453
07/13/26	2.021
07/16/26	1.472
07/16/26	1.979
07/16/26	1.431
07/16/26	1.452
07/16/26	1.433
07/16/26	1.484
07/16/26	2.015
07/16/26	1.471
07/16/26	1.453
07/16/26	2.034
07/17/26	2.083
07/17/26	1.413
07/17/26	1.372
07/17/26	2.041
07/17/26	1.468
07/17/26	1.476
07/17/26	1.461
07/17/26	2.021
07/17/26	1.483
07/17/26	1.416
07/21/26	1.517
07/21/26	2.004
07/21/26	1.482
07/21/26	2.021
07/21/26	1.43
07/21/26	2.024
07/21/26	1.442
07/21/26	1.429
07/21/26	1.479
07/21/26	1.416
07/23/26	2.063
07/23/26	1.996
07/23/26	1.476
07/23/26	2.03
07/23/26	2.005
07/23/26	2.019
07/23/26	2.023
07/23/26	1.455
07/23/26	1.463
07/23/26	2.023
