# Date	real
07/13/26	1.091
07/13/26	1.083
07/13/26	1.101
07/13/26	1.036
07/13/26	1.103
07/13/26	1.097
07/13/26	1.04
07/13/26	1.067
07/13/26	1.063
07/13/26	1.11
07/16/26	1.096
07/16/26	1.118
07/16/26	1.112
07/16/26	1.074
07/16/26	1.038
07/16/26	1.059
07/16/26	1.117
07/16/26	1.046
07/16/26	1.047
07/16/26	1.099
07/17/26	1.139
07/17/26	1.071
07/17/26	1.105
07/17/26	1.052
07/17/26	1.086
07/17/26	1.11
07/17/26	1.08
07/17/26	1.117
07/17/26	1.07
07/17/26	1.038
07/21/26	1.149
07/21/26	1.092
07/21/26	1.094
07/21/26	1.108
07/21/26	1.025
07/21/26	1.063
07/21/26	1.058
07/21/26	1.071
07/21/26	1.13
07/21/26	1.068
07/23/26	1.149
07/23/26	1.069
07/23/26	1.105
07/23/26	1.096
07/23/26	1.088
07/23/26	1.068
07/23/26	1.1
07/23/26	1.029
07/23/26	1.112
07/23/26	1.113
