# Date	real
07/13/26	14.83
07/13/26	14.78
07/13/26	14.79
07/13/26	14.79
07/13/26	14.78
07/13/26	14.8
07/13/26	14.78
07/13/26	14.79
07/13/26	14.8
07/13/26	14.79
07/16/26	14.82
07/16/26	14.81
07/16/26	14.8
07/16/26	14.81
07/16/26	14.81
07/16/26	14.82
07/16/26	14.79
07/16/26	14.8
07/16/26	14.8
07/16/26	14.79
07/17/26	14.84
07/17/26	14.81
07/17/26	14.8
07/17/26	14.81
07/17/26	14.8
07/17/26	14.81
07/17/26	14.81
07/17/26	14.81
07/17/26	14.8
07/17/26	14.8
07/23/26	14.84
07/23/26	14.82
07/23/26	14.79
07/23/26	14.8
07/23/26	14.8
07/23/26	14.79
07/23/26	14.8
07/23/26	14.81
07/23/26	14.8
07/23/26	14.8
