# Date	real
07/13/26	12.12
07/13/26	12.13
07/13/26	12.11
07/13/26	12.1
07/13/26	12.1
07/13/26	12.1
07/13/26	12.11
07/13/26	12.1
07/13/26	12.11
07/13/26	12.07
07/16/26	12.15
07/16/26	12.09
07/16/26	12.11
07/16/26	12.09
07/16/26	12.12
07/16/26	12.09
07/16/26	12.07
07/16/26	12.09
07/16/26	12.11
07/16/26	12.11
07/17/26	12.15
07/17/26	12.09
07/17/26	12.11
07/17/26	12.12
07/17/26	12.1
07/17/26	12.09
07/17/26	12.09
07/17/26	12.09
07/17/26	12.13
07/17/26	12.1
07/23/26	12.16
07/23/26	12.1
07/23/26	12.12
07/23/26	12.12
07/23/26	12.09
07/23/26	12.12
07/23/26	12.1
07/23/26	12.13
07/23/26	12.13
07/23/26	12.1
