# Date	real
07/14/26	0.1826
07/14/26	0.1342
07/14/26	0.145
07/14/26	0.148
07/14/26	0.1442
07/14/26	0.1326
07/14/26	0.1308
07/14/26	0.1459
07/14/26	0.1309
07/14/26	0.1365
07/16/26	0.1782
07/16/26	0.1315
07/16/26	0.1444
07/16/26	0.1454
07/16/26	0.1434
07/16/26	0.1431
07/16/26	0.1329
07/16/26	0.1421
07/16/26	0.143
07/16/26	0.1437
07/17/26	0.1639
07/17/26	0.1443
07/17/26	0.1428
07/17/26	0.1424
07/17/26	0.1421
07/17/26	0.1263
07/17/26	0.1432
07/17/26	0.1405
07/17/26	0.1438
07/17/26	0.1343
07/21/26	0.1711
07/21/26	0.1392
07/21/26	0.1296
07/21/26	0.1399
07/21/26	0.1443
07/21/26	0.1409
07/21/26	0.1409
07/21/26	0.1306
07/21/26	0.1439
07/21/26	0.137
07/24/26	0.1575
07/24/26	0.1351
07/24/26	0.1276
07/24/26	0.1397
07/24/26	0.1442
07/24/26	0.128
07/24/26	0.143
07/24/26	0.1446
07/24/26	0.1439
07/24/26	0.1394
