# Date	real
07/13/26	16.69
07/13/26	16.53
07/13/26	16.56
07/13/26	16.63
07/13/26	16.57
07/13/26	16.54
07/13/26	16.54
07/13/26	16.81
07/13/26	16.56
07/13/26	16.45
07/16/26	16.6
07/16/26	16.6
07/16/26	16.55
07/16/26	16.54
07/16/26	16.59
07/16/26	16.64
07/16/26	16.53
07/16/26	16.73
07/16/26	16.73
07/16/26	16.7
07/17/26	15.9
07/17/26	16.47
07/17/26	17.24
07/17/26	15.91
07/17/26	17.32
07/17/26	16.54
07/17/26	16.49
07/17/26	17.31
07/17/26	16.33
07/17/26	16.49
07/21/26	17.14
07/21/26	15.79
07/21/26	16.43
07/21/26	16.82
07/21/26	16.54
07/21/26	16.36
07/21/26	15.78
07/21/26	16.42
07/21/26	16.67
07/21/26	15.8
07/23/26	16.43
07/23/26	16.83
07/23/26	15.84
07/23/26	16.15
07/23/26	16.44
07/23/26	16.47
07/23/26	16.41
07/23/26	15.8
07/23/26	16.79
07/23/26	16.48
