# Date	real
07/13/26	17.45
07/13/26	17.83
07/13/26	17.4
07/13/26	17.45
07/13/26	17.63
07/13/26	17.83
07/13/26	17.44
07/13/26	17.41
07/13/26	17.03
07/13/26	17.28
07/16/26	17.47
07/16/26	17.64
07/16/26	17.59
07/16/26	17.06
07/16/26	17.43
07/16/26	17.41
07/16/26	17.4
07/16/26	17.42
07/16/26	18.07
07/16/26	17.01
07/17/26	18.02
07/17/26	17.37
07/17/26	17.29
07/17/26	17.57
07/17/26	18.05
07/17/26	17.99
07/17/26	17.4
07/17/26	17.98
07/17/26	17.41
07/17/26	17.55
07/21/26	17.44
07/21/26	17.35
07/21/26	17.24
07/21/26	17.32
07/21/26	17.28
07/21/26	17.48
07/21/26	17.49
07/21/26	17.28
07/21/26	17.27
07/21/26	17.3
07/23/26	17.29
07/23/26	16.83
07/23/26	17.49
07/23/26	17.22
07/23/26	17.19
07/23/26	17.53
07/23/26	16.87
07/23/26	17.56
07/23/26	17.47
07/23/26	17.26
