# Date	real
07/13/26	155.3
07/13/26	156.4
07/13/26	154.8
07/13/26	154.9
07/13/26	155.9
07/13/26	155.1
07/13/26	154.6
07/13/26	154.5
07/13/26	154.0
07/13/26	153.9
07/16/26	153.3
07/16/26	153.6
07/16/26	153.6
07/16/26	152.8
07/16/26	152.8
07/16/26	152.3
07/16/26	151.9
07/16/26	153.4
07/16/26	154.0
07/16/26	154.3
07/17/26	152.6
07/17/26	151.1
07/17/26	153.2
07/17/26	151.2
07/17/26	152.7
07/17/26	153.3
07/17/26	152.5
07/17/26	152.6
07/17/26	152.0
07/17/26	151.7
07/21/26	152.0
07/21/26	153.9
07/21/26	151.5
07/21/26	152.8
07/21/26	153.0
07/21/26	153.5
07/21/26	152.0
07/21/26	152.0
07/21/26	152.6
07/21/26	152.6
07/24/26	152.9
07/24/26	152.1
07/24/26	154.0
07/24/26	152.9
07/24/26	153.3
07/24/26	153.5
07/24/26	154.0
07/24/26	152.0
07/24/26	152.0
07/24/26	154.0
