# Date	real
07/13/26	9.857
07/13/26	9.841
07/13/26	9.874
07/13/26	9.818
07/13/26	9.808
07/13/26	9.842
07/13/26	9.835
07/13/26	9.842
07/13/26	9.841
07/13/26	9.845
07/16/26	9.824
07/16/26	10.71
07/16/26	9.82
07/16/26	9.828
07/16/26	9.856
07/16/26	9.891
07/16/26	9.853
07/16/26	9.856
07/16/26	9.839
07/16/26	9.856
07/17/26	9.85
07/17/26	9.813
07/17/26	9.842
07/17/26	9.84
07/17/26	9.873
07/17/26	9.847
07/17/26	9.886
07/17/26	9.855
07/17/26	9.818
07/17/26	9.809
07/21/26	9.869
07/21/26	9.879
07/21/26	9.82
07/21/26	9.854
07/21/26	9.812
07/21/26	9.847
07/21/26	9.829
07/21/26	9.841
07/21/26	9.868
07/21/26	9.843
07/24/26	9.859
07/24/26	9.841
07/24/26	9.91
07/24/26	9.85
07/24/26	9.846
07/24/26	9.891
07/24/26	9.839
07/24/26	9.879
07/24/26	9.825
07/24/26	9.813
