# Date	real
07/13/26	0.3695
07/13/26	0.3316
07/13/26	0.3255
07/13/26	0.3301
07/13/26	0.3358
07/13/26	0.3224
07/13/26	0.3313
07/13/26	0.3198
07/13/26	0.3273
07/13/26	0.3437
07/16/26	0.3725
07/16/26	0.3339
07/16/26	0.3259
07/16/26	0.3211
07/16/26	0.3362
07/16/26	0.3193
07/16/26	0.322
07/16/26	0.3237
07/16/26	0.3306
07/16/26	0.3445
07/17/26	0.3713
07/17/26	0.3285
07/17/26	0.333
07/17/26	0.3355
07/17/26	0.3195
07/17/26	0.3204
07/17/26	0.3276
07/17/26	0.3355
07/17/26	0.339
07/17/26	0.3362
07/21/26	0.37
07/21/26	0.3341
07/21/26	0.3512
07/21/26	0.324
07/21/26	0.3279
07/21/26	0.3339
07/21/26	0.3371
07/21/26	0.3196
07/21/26	0.3224
07/21/26	0.3391
07/24/26	0.3595
07/24/26	0.3337
07/24/26	0.3344
07/24/26	0.3318
07/24/26	0.3278
07/24/26	0.3208
07/24/26	0.3338
07/24/26	0.3339
07/24/26	0.3307
07/24/26	0.323
