# Date	real
07/13/26	9.756
07/13/26	9.782
07/13/26	9.794
07/13/26	9.776
07/13/26	9.823
07/13/26	9.779
07/13/26	9.766
07/13/26	9.772
07/13/26	9.776
07/13/26	9.799
07/16/26	9.783
07/16/26	9.756
07/16/26	9.793
07/16/26	9.767
07/16/26	9.771
07/16/26	9.766
07/16/26	9.795
07/16/26	9.787
07/16/26	9.752
07/16/26	9.782
07/17/26	9.805
07/17/26	9.799
07/17/26	9.773
07/17/26	9.798
07/17/26	9.747
07/17/26	9.801
07/17/26	9.806
07/17/26	9.761
07/17/26	9.765
07/17/26	9.783
07/21/26	9.824
07/21/26	9.761
07/21/26	9.776
07/21/26	9.796
07/21/26	9.766
07/21/26	9.808
07/21/26	9.77
07/21/26	9.778
07/21/26	9.795
07/21/26	9.773
07/24/26	9.805
07/24/26	9.801
07/24/26	9.78
07/24/26	9.794
07/24/26	9.778
07/24/26	9.763
07/24/26	9.775
07/24/26	9.786
07/24/26	9.795
07/24/26	9.825
